,Height,Weight,Medal_Counts,Percentage_Win_H,Percentage_Win_W
235,174,74,37,3.911378063912817,3.7145237880111237
236,177,78,37,3.9788156167388995,3.9153088576333466
237,178,81,37,4.001294801014261,4.065897659850013
238,179,76,37,4.023773985289622,3.814916322822235
239,179,74,37,4.023773985289622,3.7145237880111237
240,184,82,37,4.136169906666427,4.116093927255569
241,190,95,37,4.271045012318592,4.768645403527794
242,192,90,37,4.316003380869315,4.517664066500015
243,166,61,36,3.731544589709929,3.061972311738899
244,168,54,36,3.7765029582606506,2.7105984399000094
245,169,60,36,3.798982142536012,3.0117760443333434
246,176,67,36,3.9563364324635386,3.363149916172233
247,176,64,36,3.9563364324635386,3.2125611139555663
