,Height,Weight,Medal_Counts
267,175.0,80.0,34
268,177.0,71.0,34
269,177.0,80.0,34
270,180.0,65.0,34
271,182.0,85.0,34
272,183.0,90.0,34
273,184.0,84.0,34
274,186.0,84.0,34
275,188.0,89.0,34
276,190.0,84.0,34
277,163.0,63.0,33
278,165.0,63.0,33
279,167.0,65.0,33
280,169.0,64.0,33
281,171.0,68.0,33
282,175.0,61.0,33
283,176.0,71.0,33
284,181.0,70.0,33
285,184.0,79.0,33
286,185.0,90.0,33
287,185.0,72.0,33
288,186.0,85.0,33
289,186.0,90.0,33
290,188.0,75.0,33
291,190.0,93.0,33
292,160.0,56.0,32
293,162.0,52.0,32
294,165.0,66.0,32
295,165.0,64.0,32
296,165.0,,32
297,168.0,68.0,32
298,172.0,71.0,32
299,174.0,60.0,32
300,175.0,77.0,32
301,176.0,66.0,32
302,179.0,80.0,32
303,181.0,81.0,32
304,186.0,83.0,32
305,165.0,65.0,31
306,169.0,66.0,31
307,171.0,65.0,31
308,179.0,82.0,31
309,180.0,64.0,31
310,188.0,78.0,31
311,188.0,83.0,31
312,190.0,92.0,31
313,192.0,92.0,31
314,193.0,86.0,31
315,160.0,60.0,30
316,161.0,52.0,30
317,162.0,55.0,30
318,163.0,60.0,30
319,172.0,59.0,30
320,173.0,71.0,30
321,174.0,67.0,30
322,175.0,69.0,30
323,175.0,74.0,30
324,177.0,76.0,30
325,178.0,63.0,30
326,178.0,83.0,30
327,181.0,80.0,30
328,184.0,77.0,30
329,184.0,73.0,30
330,185.0,76.0,30
331,185.0,74.0,30
332,185.0,70.0,30
333,186.0,86.0,30
334,187.0,90.0,30
335,190.0,87.0,30
336,158.0,48.0,29
337,160.0,50.0,29
338,162.0,53.0,29
339,163.0,55.0,29
340,166.0,56.0,29
341,171.0,66.0,29
342,173.0,72.0,29
343,176.0,80.0,29
344,177.0,67.0,29
345,180.0,90.0,29
346,181.0,76.0,29
347,182.0,84.0,29
348,182.0,90.0,29
349,185.0,91.0,29
350,187.0,87.0,29
351,188.0,87.0,29
352,188.0,95.0,29
353,190.0,100.0,29
354,191.0,86.0,29
355,161.0,57.0,28
356,164.0,58.0,28
357,164.0,59.0,28
358,165.0,68.0,28
359,165.0,61.0,28
360,171.0,71.0,28
361,172.0,73.0,28
362,172.0,57.0,28
363,173.0,74.0,28
364,173.0,62.0,28
365,175.0,,28
366,179.0,79.0,28
367,179.0,85.0,28
368,184.0,74.0,28
369,184.0,76.0,28
370,184.0,90.0,28
371,184.0,85.0,28
372,185.0,92.0,28
373,191.0,80.0,28
374,193.0,89.0,28
375,196.0,90.0,28
376,163.0,54.0,27
377,164.0,60.0,27
378,165.0,52.0,27
379,167.0,66.0,27
380,167.0,64.0,27
381,169.0,59.0,27
382,169.0,62.0,27
383,173.0,75.0,27
384,177.0,73.0,27
385,178.0,84.0,27
386,180.0,60.0,27
387,181.0,82.0,27
388,190.0,78.0,27
389,160.0,48.0,26
390,166.0,55.0,26
391,167.0,56.0,26
392,167.0,68.0,26
393,167.0,62.0,26
394,168.0,66.0,26
395,169.0,61.0,26
396,170.0,71.0,26
397,171.0,67.0,26
398,172.0,75.0,26
399,176.0,60.0,26
400,179.0,78.0,26
401,181.0,79.0,26
402,181.0,74.0,26
403,182.0,71.0,26
404,183.0,71.0,26
405,184.0,86.0,26
406,185.0,88.0,26
407,187.0,82.0,26
408,191.0,91.0,26
409,193.0,80.0,26
410,195.0,90.0,26
411,157.0,52.0,25
412,164.0,52.0,25
413,166.0,63.0,25
414,167.0,67.0,25
415,171.0,73.0,25
416,177.0,69.0,25
417,180.0,83.0,25
418,182.0,81.0,25
419,183.0,88.0,25
420,190.0,91.0,25
421,191.0,87.0,25
422,193.0,90.0,25
423,195.0,95.0,25
424,158.0,50.0,24
425,162.0,57.0,24
426,162.0,48.0,24
427,163.0,58.0,24
428,164.0,57.0,24
429,167.0,55.0,24
430,168.0,67.0,24
431,169.0,57.0,24
432,169.0,65.0,24
433,173.0,77.0,24
434,174.0,71.0,24
435,175.0,58.0,24
436,175.0,76.0,24
437,176.0,78.0,24
438,177.0,64.0,24
439,186.0,76.0,24
440,188.0,91.0,24
441,188.0,90.0,24
442,189.0,83.0,24
443,190.0,80.0,24
444,191.0,90.0,24
445,192.0,88.0,24
446,192.0,85.0,24
447,193.0,96.0,24
448,194.0,90.0,24
449,162.0,51.0,23
450,163.0,61.0,23
451,169.0,70.0,23
452,171.0,58.0,23
453,173.0,58.0,23
454,175.0,79.0,23
455,177.0,65.0,23
456,178.0,86.0,23
457,179.0,77.0,23
458,180.0,63.0,23
459,184.0,88.0,23
460,185.0,68.0,23
461,186.0,72.0,23
462,190.0,77.0,23
463,191.0,84.0,23
464,193.0,95.0,23
465,198.0,100.0,23
466,200.0,100.0,23
467,162.0,50.0,22
468,169.0,67.0,22
469,170.0,74.0,22
470,172.0,58.0,22
471,176.0,76.0,22
472,180.0,88.0,22
473,181.0,68.0,22
474,187.0,79.0,22
475,190.0,83.0,22
476,196.0,95.0,22
477,158.0,52.0,21
478,160.0,49.0,21
479,162.0,54.0,21
480,166.0,62.0,21
481,167.0,52.0,21
482,169.0,55.0,21
483,171.0,72.0,21
484,171.0,,21
485,174.0,57.0,21
486,178.0,60.0,21
487,182.0,86.0,21
488,185.0,93.0,21
489,186.0,88.0,21
490,187.0,75.0,21
491,187.0,86.0,21
492,187.0,85.0,21
493,188.0,100.0,21
494,191.0,89.0,21
495,193.0,85.0,21
496,163.0,64.0,20
497,165.0,53.0,20
498,167.0,54.0,20
499,169.0,58.0,20
500,171.0,59.0,20
501,171.0,62.0,20
502,174.0,78.0,20
